diario,seccion,titulo,descripcion,sentimiento,pond_negativos,pond_neutro,pond_positivo
Telam,Politica,Renta Inesperada: el proyecto que presenta hoy el Gobierno,El Presidente dará a conocer los detalles de la iniciativa que está dirigida para quienes se vieron beneficiados a partir del aumento de los precios internacionales a causa del conflicto bélico entre Rusia y Ucrania.,NEU,0.018354173749685287,0.9649379253387451,0.016707878559827805
Telam,Politica,El Parlasur vuelve a sesionar con la expulsión de Rodríguez Simón en la agenda,"Para tratar la situación del exasesor del Gobierno de Cambiemos, sobre quien pesa un pedido de captura internacional en el marco de una causa en la que se lo investiga por la extorsión a los dueños del Grupo Indalo, se necesita un número especial de representantes presentes, algo que no está asegurado.
",NEU,0.06098245456814766,0.9324407577514648,0.006576871033757925
Telam,Politica,"""Nuestra principal responsabilidad es evitar retorno de la restauración conservadora""","Durante un acto que encabezó en Rosario, el director nacional de Estrategias Inclusivas del Transporte del Ministerio de Transporte dijo que ""a los socialistas no nos asustan las disputas ni las diferencias internas, pero no nos vamos a prestar a un juego que debilita al gobierno y alimenta al enemigo"".",NEU,0.04703059792518616,0.9266623258590698,0.02630709856748581
Telam,Politica,Juntan firmas en apoyo al proyecto para pagarle al FMI con dinero fugado al exterior,"La iniciativa, encabezada por la diputada nacional del Frente de Todos (FdT) Leila Chaher, tiene el apoyo de militantes de diversas organizaciones en todo el territorio provincial, quienes toman contacto permanente con los vecinos.
",NEU,0.048618488013744354,0.9373785257339478,0.014002962037920952
Telam,Politica,"Morales le exigió a Macri que diga si quiere acordar con ""sectores de la extrema derecha""","El gobernador jujeño y presidente de la UCR le reprochó al expresidente haber dicho en Brasil que hay que ""luchar contra el populismo"" y que éste arrancó en la Argentina con ""Yrigoyen"". Además, lo desafió a ""decir concretamente si su intención es romper Juntos por el Cambio"".",NEU,0.1468183696269989,0.8341420292854309,0.019039614126086235
Telam,Politica,Dirigentes del Frente de Todos celebraron la llegada de Scioli a Desarrollo Productivo,El gobernador Jorge Capitanich y los diputados Eduardo Valdés y Leonardo Santoro apoyaron la decisión del Presidente de reemplazar a Matías Kulfas por Daniel Scioli en la cartera de Desarrollo Productivo.,NEU,0.05198926106095314,0.6768770813941956,0.2711337208747864
Telam,Politica,El Frente de Todos se aseguró la presidencia de las comisiones clave,"El bloque oficialista consiguió 22 comisiones, mientras que Juntos por el Cambio hizo lo propio también con las otras 22. Por su parte, Avanza Libertad, de José Luis Espert y Carolina Píparo, integrará 4 comisiones y el Frente de Izquierda tiene presencia en 9.",NEU,0.01760980114340782,0.900529146194458,0.08186104893684387
Telam,Politica,El Frente de Todos buscará sancionar  el alivio fiscal para autónomos y monotributistas,La iniciativa prevé la actualización de las escalas de facturación de las distintas categorías del monotributo desde el 1° de julio de 2022 y aliviarían a cuatro millones de monotributistas y unos 140 mil empleados autónomos.,NEU,0.05288182199001312,0.92559415102005,0.021524062380194664
Telam,Politica,"Rossi dijo que seguirá ""profundizando"" la ""línea de trabajo"" de Caamaño en la AFI","Destacó que su antecesora trabajó para vincular a la AFI con ""las agencias más profesionalizadas del mundo"". Además, señaló que ""la responsabilidad"" del expresidente Mauricio Macri en la causa por espionaje ilegal a familiares del ARA San Juan ""es indubitable"".",NEU,0.018550114706158638,0.9341602921485901,0.0472896546125412
Telam,Politica,"Máximo Kirchner: ""Muchos de los que no muestran sus voces no aparecieron en el macrismo""","El diputado nacional por el Frente de Todos participó de un encuentro de intelectuales, docentes, trabajadores de los medios y la cultura en la Universidad Nacional de Quilmes en homenaje al sociólogo Horacio González.",NEG,0.6022756695747375,0.3834730088710785,0.01425132341682911
Telam,Politica,"Manzur: ""Argentina fue uno de los países que más vacunas consiguió""","El jefe de Gabinete destacó que el país alcanzó cifras récord de vacunación con la adquisición de 119 millones de dosis, y señaló que &amp;ldquo;a ningún argentino le faltó una cama, un respirador o remedios&amp;rdquo; durante la emergencia sanitaria.",NEU,0.05866158381104469,0.6251407861709595,0.31619763374328613
Telam,Politica,El Presidente llevará la voz de la Celac a la Cumbre de las Américas,"Las consecuencias en el sur del planeta de la guerra en Ucrania así como la necesidad de una Latinoamérica unida y sin exclusiones, en este último punto a raíz de la decisión del país anfitrión de no invitar a esta Cumbre a Venezuela, Nicaragua y Cuba, los ejes de la posición que presentará Alberto Fernández.",NEU,0.017508847638964653,0.9250476956367493,0.05744355544447899
Telam,Politica,"Fernández reemplazará a Kulfas por Scioli, quien ingresa al Gabinete y retoma centralidad",El Presidente le ofreció asumir en el Gabinete y el diplomático en Brasilia y excandidato presidencial de 2015 aceptó la propuesta.,NEU,0.012278929352760315,0.9677664041519165,0.019954625517129898
Telam,Politica,Scioli llega a un área clave del Gobierno,La designación del embajador en Brasil al frente del Ministerio de Desarrollo Productivo se produce luego de que el presidente Alberto Fernández le pidiera la renuncia a Matías Kulfas.,NEU,0.022588340565562248,0.9294629693031311,0.047948651015758514
Telam,Politica,El Presidente le pidió la renuncia a Kulfas y eligió al embajador Scioli para reemplazarlo,"Alberto Fernández consideró ""éticamente reprochable"" la difusión de un informe &amp;#39;en off&amp;#39; sobre el proceso licitatorio del gasoducto Néstor Kirchner.",NEU,0.10793758183717728,0.8753141164779663,0.016748342663049698
Telam,Politica,"Agustín Rossi, el dirigente peronista que vuelve al Gobierno para conducir la AFI","Con una larga trayectoria en la política nacional, el dirigente fue designado por el presidente Alberto Fernández como el nuevo director de la Agencia Federal de Inteligencia (AFI) en reemplazo de Cristina Caamaño.",NEU,0.009946462698280811,0.956864058971405,0.033189546316862106
Telam,Politica,Recordaron el 76° aniversario de la asunción de Perón a su primera presidencia,"Juan Domingo Perón, quien fue tres veces presidente de Argentina, asumió su primera presidencia el 4 de junio de 1946, tras ganar por voto popular las elecciones realizadas el 24 de febrero de ese año.",NEU,0.020264022052288055,0.8698047995567322,0.10993123799562454
Telam,Politica,Agustín Rossi reemplazará a Caamaño al frente de la AFI,"El Presidente realizó el anuncio sobre la designación del exministro de Defensa en lugar de la hasta ahora titular de la Agencia, cuya intervención en el organismo concluirá el próximo lunes. Fernández aclaró que requerirá el acuerdo del Senado para confirmar el nombramiento.",NEU,0.022613590583205223,0.9462063908576965,0.031179988756775856
Telam,Politica,"Milei insiste y ahora dijo que ""derogaría la prohibición de venta de órganos""","El diputado de La Libertad Avanza ya se había declarado durante la semana a favor de esa actividad ilegal, lo que mereció el repudio de diferentes sectores políticos y sociales.",NEU,0.04915003478527069,0.9317654371261597,0.0190845038741827
